SlNo,Product,URL,Environment,TCID,TestCaseDescription,Browser,Result,Investigations,TestStartedTime,TestEndedTime,Timetakentofinish,
414,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 12:04:50 AM,2020-06-12 12:05:27 AM,00:00:37,
415,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 01:04:05 AM,2020-06-12 01:04:15 AM,00:00:10,
416,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 01:04:17 AM,2020-06-12 01:04:48 AM,00:00:31,
417,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 01:04:49 AM,2020-06-12 01:05:27 AM,00:00:38,
418,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 02:04:04 AM,2020-06-12 02:04:15 AM,00:00:11,
419,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 02:04:16 AM,2020-06-12 02:04:47 AM,00:00:31,
420,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 02:04:48 AM,2020-06-12 02:05:26 AM,00:00:38,
421,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 03:04:05 AM,2020-06-12 03:04:15 AM,00:00:10,
422,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 03:04:16 AM,2020-06-12 03:04:48 AM,00:00:32,
423,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 03:04:49 AM,2020-06-12 03:05:26 AM,00:00:37,
424,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 04:04:04 AM,2020-06-12 04:04:15 AM,00:00:11,
425,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 04:04:16 AM,2020-06-12 04:04:49 AM,00:00:33,
426,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 04:04:50 AM,2020-06-12 04:05:29 AM,00:00:39,
427,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 05:04:05 AM,2020-06-12 05:04:15 AM,00:00:10,
428,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 05:04:16 AM,2020-06-12 05:04:48 AM,00:00:32,
429,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 05:04:49 AM,2020-06-12 05:05:26 AM,00:00:37,
430,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 06:04:05 AM,2020-06-12 06:04:15 AM,00:00:10,
431,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 06:04:16 AM,2020-06-12 06:04:48 AM,00:00:32,
432,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 06:04:49 AM,2020-06-12 06:05:27 AM,00:00:38,
433,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 07:04:04 AM,2020-06-12 07:04:15 AM,00:00:11,
434,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 07:04:16 AM,2020-06-12 07:04:48 AM,00:00:32,
435,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 07:04:49 AM,2020-06-12 07:05:26 AM,00:00:37,
436,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 08:04:05 AM,2020-06-12 08:04:15 AM,00:00:10,
437,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 08:04:16 AM,2020-06-12 08:04:48 AM,00:00:32,
438,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 08:04:49 AM,2020-06-12 08:05:27 AM,00:00:38,
439,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,FAILED,,2020-06-12 09:04:05 AM,2020-06-12 09:04:42 AM,00:00:37,
440,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,FAILED,,2020-06-12 09:04:43 AM,2020-06-12 09:05:49 AM,00:01:06,
441,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 09:05:50 AM,2020-06-12 09:06:37 AM,00:00:47,
442,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 10:04:04 AM,2020-06-12 10:04:15 AM,00:00:11,
443,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 10:04:16 AM,2020-06-12 10:04:47 AM,00:00:31,
444,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 10:04:48 AM,2020-06-12 10:05:26 AM,00:00:38,
445,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 11:04:05 AM,2020-06-12 11:04:15 AM,00:00:10,
446,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 11:04:16 AM,2020-06-12 11:04:48 AM,00:00:32,
447,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 11:04:49 AM,2020-06-12 11:05:27 AM,00:00:38,
448,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 12:04:05 PM,2020-06-12 12:04:15 PM,00:00:10,
449,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 12:04:16 PM,2020-06-12 12:04:48 PM,00:00:32,
450,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 12:04:49 PM,2020-06-12 12:05:27 PM,00:00:38,
451,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 01:04:05 PM,2020-06-12 01:04:15 PM,00:00:10,
452,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 01:04:16 PM,2020-06-12 01:04:48 PM,00:00:32,
453,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 01:04:49 PM,2020-06-12 01:05:27 PM,00:00:38,
454,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 02:04:05 PM,2020-06-12 02:04:15 PM,00:00:10,
455,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 02:04:17 PM,2020-06-12 02:04:48 PM,00:00:31,
456,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 02:04:49 PM,2020-06-12 02:05:27 PM,00:00:38,
457,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 03:04:04 PM,2020-06-12 03:04:15 PM,00:00:11,
458,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 03:04:16 PM,2020-06-12 03:04:47 PM,00:00:31,
459,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 03:04:48 PM,2020-06-12 03:05:26 PM,00:00:38,
460,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 04:04:05 PM,2020-06-12 04:04:15 PM,00:00:10,
